ath1_probe	FC_27_28_35_36_GSE576	Pvalue_27_28_35_36_down	Pvalue_27_28_35_36_up	FC_29_30_37_38_GSE576	Pvalue_29_30_37_38_down	Pvalue_29_30_37_38_up	FC_31_32_39_40_GSE576	Pvalue_31_32_39_40_down	Pvalue_31_32_39_40_up	FC_33_34_41_42_GSE576	Pvalue_33_34_41_42_down	Pvalue_33_34_41_42_up	ID	Annotation
257859_at	-0.0564	0.3208	0.552	-0.1692	0.1564	0.9168	-0.0012	0.4297	0.5008	0.1934	0.9438	0.1347	AT3G12955	auxin-responsive protein-related
257860_at	0.0369	0.5531	0.4816	-0.1975	0.1194	0.9495	-0.1103	0.2538	0.875	0.0035	0.5491	0.6387	AT3G13062	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55960.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41766.1); contains InterPro domain Lipid-binding START (InterPro:IPR002913)
257861_at	-0.0485	0.4257	0.7149	-0.0434	0.4361	0.637	-0.1914	0.1047	0.9462	-0.1171	0.1865	0.7607	AT3G13050	transporter-related
257862_s_at	0.0092	0.5607	0.5842	0.1343	0.8366	0.1748	0.1195	0.8562	0.2832	-0.1793	0.1103	0.9335	AT3G17760;AT3G17720	[AT3G17760, GAD5 (GLUTAMATE DECARBOXYLASE 5); calmodulin binding];[AT3G17720, pyridoxal-dependent decarboxylase family protein]
257863_at	-0.1752	0.14	0.9364	-0.1434	0.1686	0.7465	-0.2257	0.0693	0.9733	-0.0993	0.2395	0.8468	AT3G17730	ANAC057 (Arabidopsis NAC domain containing protein 57); transcription factor
257864_at	-0.0331	0.4699	0.6876	-0.1124	0.2894	0.8448	-0.1933	0.0976	0.945	-0.1074	0.2247	0.8724	AT3G17740	similar to hypothetical protein OsJ_008259 [Oryza sativa (japonica cultivar-group)] (GB:EAZ24776.1); similar to hypothetical protein OsI_008933 [Oryza sativa (indica cultivar-group)] (GB:EAY87700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO72013.1); contains InterPro domain Protein of unknown function DUF1740 (InterPro:IPR013633)
257865_at	-0.0958	0.2896	0.8367	0.1019	0.861	0.285	0.071	0.7043	0.3597	0.0638	0.7358	0.4422	AT3G17750	protein kinase family protein
257866_at	0.3415	0.9888	0.0304	0.128	0.8766	0.1976	-0.071	0.3494	0.787	0.0366	0.6577	0.5412	AT3G17770	dihydroxyacetone kinase family protein
257867_at	0.0233	0.5873	0.5585	0.0201	0.6404	0.4641	0.198	0.9391	0.1272	-0.0636	0.3051	0.6961	AT3G17780	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48440.1); similar to unknown [Populus trichocarpa] (GB:ABK93075.1)
257868_at	0.178	0.875	0.1823	-0.16	0.1716	0.8941	-0.0356	0.4459	0.6934	-0.0396	0.4101	0.7517	AT3G25070	RIN4 (RPM1 INTERACTING PROTEIN 4); protein binding
257869_at	-0.2701	0.0483	0.9764	0.0464	0.7554	0.4224	0.0632	0.5574	0.3387	0.0271	0.5109	0.4747	AT3G25160	ER lumen protein retaining receptor family protein
257870_at	-0.0223	0.4438	0.5551	-0.1247	0.2497	0.867	0.0232	0.6323	0.5429	-0.0417	0.403	0.7383	AT3G28490	oxidoreductase, 2OG-Fe(II) oxygenase family protein
257871_at	-0.0176	0.4594	0.5994	-0.2683	0.05	0.9801	-0.0304	0.4616	0.6964	-0.2021	0.0772	0.9444	AT3G28350	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G28370.1); similar to hypothetical protein OsI_021564 [Oryza sativa (indica cultivar-group)] (GB:EAZ00332.1)
257872_at	0.0884	0.7873	0.3876	-0.098	0.3269	0.8149	0.0046	0.5959	0.6173	0.0426	0.6754	0.5112	AT3G28360	PGP16 (P-GLYCOPROTEIN 16); ATPase, coupled to transmembrane movement of substances
257873_at	-0.0648	0.3776	0.7922	-0.0183	0.4921	0.5748	-0.1072	0.2649	0.8728	0.0075	0.4539	0.5053	AT3G28380	PGP17 (P-GLYCOPROTEIN 17); ATP binding / ATPase/ ATPase, coupled to transmembrane movement of substances / nucleoside-triphosphatase/ nucleotide binding
257874_at	-0.2297	0.072	0.9531	-0.1221	0.1833	0.7228	-0.0963	0.2953	0.8552	-0.1488	0.1478	0.86	AT3G17110	pseudogene, glycine-rich protein
257875_at	0.2185	0.927	0.1277	0.0518	0.751	0.3915	-0.0609	0.375	0.7658	-0.2732	0.0346	0.9878	AT3G17120	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01960.1); similar to hypothetical protein MtrDRAFT_AC173289g6v1 [Medicago truncatula] (GB:ABN09095.1)
257876_at	0.0849	0.4425	0.266	-0.208	0.1031	0.9502	-0.3256	0.0183	0.9943	-0.2269	0.0653	0.9511	AT3G17130	invertase/pectin methylesterase inhibitor family protein
257877_at	-0.1809	0.1351	0.9386	-0.182	0.13	0.9034	0.075	0.7415	0.3933	-0.2169	0.0727	0.9684	AT3G17140	invertase inhibitor-related
257878_at	-0.0997	0.1586	0.4801	0.4446	0.9972	0.007	0.3125	0.9296	0.0302	0.1529	0.8991	0.2068	no_match	no_match
257879_at	0.0753	0.7255	0.4163	-0.1843	0.1316	0.9222	-0.1147	0.2099	0.8044	-0.0505	0.3765	0.7721	AT3G17160	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G47970.1)
257880_at	0.0919	0.3735	0.225	-0.1385	0.2172	0.8711	-0.3294	0.0164	0.9922	-0.1817	0.103	0.958	AT3G16910	AAE7/ACN1 (ACYL-ACTIVATING ENZYME 7); AMP binding / acetate-CoA ligase
257881_at	-0.2189	0.0902	0.9619	-0.2743	0.0468	0.9518	-0.0282	0.4691	0.6831	-0.0992	0.2401	0.8541	AT3G17180	SCPL33 (serine carboxypeptidase-like 33); serine carboxypeptidase
257882_at	0.0394	0.5906	0.4844	0.0317	0.4902	0.3789	0.1234	0.852	0.2595	0.2108	0.9475	0.1105	AT3G16930	unknown protein
257883_at	0.1743	0.6988	0.1623	0.1193	0.8561	0.2078	-0.1004	0.2249	0.7578	0.0015	0.5372	0.6413	AT3G16940	calmodulin-binding protein
257884_at	0.0143	0.4993	0.4085	0.1057	0.7517	0.2712	0.1159	0.7571	0.2481	0.1502	0.863	0.2024	AT3G16960	similar to self-incompatibility protein-related [Arabidopsis thaliana] (TAIR:AT3G16970.1); contains InterPro domain Plant self-incompatibility S1 (InterPro:IPR010264)
257885_at	-0.0791	0.3445	0.7852	-0.1545	0.1656	0.8646	0.0319	0.5232	0.3977	-0.1298	0.1765	0.8977	AT3G16970	self-incompatibility protein-related
257886_at	0.0774	0.6391	0.3399	0.0345	0.5161	0.3985	0.1779	0.801	0.1449	-0.0981	0.2094	0.7511	AT3G17060	pectinesterase family protein
257887_at	0.1731	0.8414	0.1844	-0.1002	0.3243	0.8396	-0.0726	0.3028	0.7274	-0.0783	0.3089	0.8433	AT3G17090	protein phosphatase 2C family protein / PP2C family protein
257888_at	0.1164	0.8287	0.3143	-0.0901	0.3426	0.7845	-0.0932	0.2997	0.8522	0.0065	0.5565	0.6154	AT3G16990	TENA/THI-4 family protein
257889_at	-0.0347	0.3705	0.5772	0.0142	0.6692	0.5287	-0.0889	0.3025	0.8264	0.066	0.661	0.3776	AT3G17080	self-incompatibility protein-related
257890_s_at	-0.0343	0.2776	0.5209	-0.0292	0.431	0.5855	-0.2546	0.0457	0.9753	0.036	0.6073	0.511	AT3G42570;AT3G17070	[AT3G42570, peroxidase-related];[AT3G17070, peroxidase, putative]
257891_at	0.0036	0.5014	0.5774	0.3122	0.7345	0.0382	-0.1388	0.1688	0.8468	-0.2348	0.0601	0.9694	AT3G17170	RFC3 (REGULATOR OF FATTY-ACID COMPOSITION 3); structural constituent of ribosome
257892_at	0.3655	0.9922	0.0243	-0.1637	0.1729	0.9196	-0.0174	0.468	0.6052	0.2048	0.9191	0.1143	AT3G17020	universal stress protein (USP) family protein
257893_at	0.1322	0.7827	0.2644	-0.109	0.2927	0.8253	-0.0401	0.4331	0.7239	0.0547	0.718	0.487	AT3G17000	UBC32 (UBIQUITIN-CONJUGATING ENZYME 32); ubiquitin-protein ligase
257894_at	0.4081	0.9669	0.0208	-0.2142	0.0921	0.9317	-0.1421	0.1436	0.8097	0.1792	0.9142	0.1516	AT3G17100	transcription factor
257895_at	-0.1996	0.0922	0.9213	-0.1522	0.1841	0.8887	-0.1686	0.1365	0.9314	-0.1886	0.0911	0.9536	AT3G16950	LPD1 (LIPOAMIDE DEHYDROGENASE 1)
257896_at	0.1947	0.3082	0.087	-0.5353	0.0029	0.9945	0.004	0.2839	0.3287	0.1073	0.6889	0.2612	AT3G16920	chitinase
257897_at	-0.007	0.5467	0.6231	-0.0538	0.3998	0.6087	0.0442	0.6602	0.4598	0.1473	0.8689	0.2073	AT3G18030	ATHAL3A (Arabidopsis thaliana Hal3-like protein A)
257898_s_at	0.1211	0.8209	0.3036	0.036	0.6785	0.4401	-0.0523	0.3904	0.7233	0.0561	0.6716	0.4367	AT5G45082;AT1G40125;AT3G30670;AT1G35600;AT4G03910;AT3G32677	[AT5G45082, transposable element gene];[AT1G40125, transposable element gene];[AT3G30670, transposable element gene];[AT1G35600, transposable element gene];[AT4G03910, transposable element gene];[AT3G32677, transposable element gene]
257899_at	0.1787	0.3712	0.1014	-0.606	0.0009	0.9998	-0.2086	0.073	0.8525	-0.464	0.0063	0.9872	AT3G28345	ABC transporter family protein
257900_at	-0.0848	0.3374	0.8168	-0.1694	0.158	0.9128	-0.1861	0.1039	0.9123	-0.3431	0.0162	0.9938	AT3G28420	contains domain PROKAR_LIPOPROTEIN (PS51257)
257901_at	0.217	0.9197	0.1284	0.2303	0.9642	0.0804	-0.0106	0.548	0.6591	0.1148	0.8014	0.2759	no_match	no_match
257902_at	0.1362	0.8517	0.2693	-0.0596	0.4406	0.7503	-0.0513	0.3517	0.681	0.011	0.5865	0.6213	AT3G28450	leucine-rich repeat transmembrane protein kinase, putative
257903_at	-0.2789	0.0434	0.982	0.1042	0.7753	0.2818	-0.3026	0.0256	0.9914	-0.279	0.0321	0.9851	AT3G28460	similar to hypothetical protein [Vitis vinifera] (GB:CAN74970.1); contains InterPro domain Protein of unknown function methylase putative (InterPro:IPR016065)
257904_at	0.3276	0.9851	0.0345	0.3414	0.9887	0.0209	0.2086	0.9284	0.1212	0.1446	0.8588	0.2103	AT3G28470	AtMYB35 (myb domain protein 35); DNA binding / transcription factor
257905_at	-0.1409	0.0509	0.3583	-0.5219	0.0026	0.9988	-0.5067	0.0019	0.9941	-0.4636	0.0053	0.9979	no_match	no_match
257906_at	-0.0037	0.5654	0.6434	-0.0333	0.5259	0.6759	0.0119	0.6151	0.5891	-0.0228	0.4662	0.7167	AT3G25520	ATL5 (A. THALIANA RIBOSOMAL PROTEIN L5); structural constituent of ribosome
257907_at	0.1003	0.7179	0.2881	0.1641	0.8923	0.1525	0.1557	0.8847	0.2051	-0.0116	0.4926	0.6687	AT3G25470	bacterial hemolysin-related
257908_at	-0.1761	0.1304	0.9256	0.3734	0.9869	0.0206	0.0778	0.6657	0.3271	0.1145	0.8194	0.2832	AT3G25410	bile acid:sodium symporter family protein
257909_at	0.2686	0.83	0.0504	0.6824	0.9997	0.0009	0.3713	0.9945	0.0179	0.4678	0.9975	0.0065	AT3G25480	rhodanese-like domain-containing protein
257910_at	-0.0595	0.3541	0.6771	0.0917	0.7549	0.2758	0.2408	0.9507	0.0831	-0.0136	0.4716	0.6631	AT3G25580	thioredoxin-related
257911_at	-0.0288	0.4481	0.6921	-0.096	0.3308	0.829	-0.0946	0.2812	0.8219	-0.0234	0.4664	0.7182	AT3G25530	ATGHBDH/GHBDH; 3-hydroxybutyrate dehydrogenase/ phosphogluconate dehydrogenase (decarboxylating)
257912_at	0.0342	0.6625	0.5427	-0.0822	0.2952	0.6403	0.2126	0.9405	0.1094	0.1511	0.8999	0.2102	AT3G25500	AFH1 (FORMIN HOMOLOGY 1); actin binding
257913_at	-0.0792	0.2651	0.615	0.0689	0.6708	0.315	0.1372	0.8743	0.2352	-0.0566	0.3206	0.7411	AT3G25540	LAG1 (Longevity assurance gene 1)
257914_at	-0.0921	0.2394	0.7637	-0.059	0.4484	0.7479	0.0405	0.6895	0.4958	-0.0525	0.3838	0.7984	AT3G25545	similar to unknown [Populus trichocarpa] (GB:ABK95265.1)
257915_at	-0.0519	0.4151	0.727	0.0815	0.8132	0.3417	-0.0042	0.4849	0.5815	0.2962	0.9189	0.0468	AT3G23130	SUP (SUPERMAN); DNA binding / nucleic acid binding / transcription factor/ zinc ion binding
257916_at	0.1878	0.6373	0.1423	0.051	0.5857	0.3335	0.3446	0.9913	0.0245	0.1663	0.8199	0.1553	AT3G23210	basic helix-loop-helix (bHLH) family protein
257917_at	-0.1942	0.1004	0.869	-0.2338	0.0731	0.9327	-0.0892	0.2974	0.8134	-0.1908	0.0852	0.8983	AT3G23220	DNA binding / transcription factor
257918_at	0.0549	0.3693	0.311	-0.2192	0.0707	0.8368	0.0494	0.6076	0.4154	-0.3171	0.0209	0.9899	AT3G23230	ethylene-responsive factor, putative
257919_at	0.1761	0.919	0.18	-0.1874	0.1005	0.8194	0.0737	0.6473	0.345	-0.0372	0.2827	0.4828	AT3G23250	AtMYB15/AtY19/MYB15 (myb domain protein 15); DNA binding / transcription factor
257920_at	0.3206	0.9607	0.0306	0.3372	0.9896	0.0237	0.2174	0.9567	0.1071	0.3599	0.9743	0.0223	AT3G23260	F-box family protein
257921_at	0.1467	0.8875	0.2357	0.1366	0.8888	0.2178	-0.014	0.5349	0.6684	0.0464	0.6859	0.5049	AT3G23270	regulator of chromosome condensation (RCC1) family protein
257922_at	0.0879	0.7386	0.3605	-0.1874	0.1245	0.8829	-0.0242	0.5056	0.6981	-0.1917	0.0941	0.9617	AT3G23150	ETR2 (ETHYLENE RESPONSE 2); receptor
257923_at	-0.016	0.3146	0.5034	-0.0083	0.5364	0.5074	-0.0489	0.4083	0.7269	0.0297	0.6193	0.5485	AT3G23160	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G04550.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71334.1); contains InterPro domain Protein of unknown function DUF668 (InterPro:IPR007700)
257924_at	-0.0122	0.5265	0.6117	0.0311	0.651	0.4718	0.091	0.7732	0.3463	0.1097	0.7182	0.2553	AT3G23190	lesion inducing protein-related
257925_at	-0.1006	0.2571	0.8194	-0.1052	0.2385	0.7426	-0.0709	0.2896	0.6887	-0.2225	0.0716	0.9375	AT3G23170	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14450.1)
257926_at	0.0909	0.7863	0.365	-0.0349	0.5074	0.6815	-0.1017	0.2747	0.8542	-0.1267	0.185	0.8642	AT3G23280	zinc finger (C3HC4-type RING finger) family protein / ankyrin repeat family protein
257927_at	0.0904	0.3028	0.0917	0.0653	0.6419	0.3445	0.3854	0.9556	0.0161	-0.0983	0.245	0.8409	AT3G23240	ATERF1/ERF1 (ETHYLENE RESPONSE FACTOR 1); DNA binding / transcription activator/ transcription factor
257928_at	-0.0811	0.344	0.8001	0.0246	0.7019	0.5049	-0.1695	0.1388	0.9415	-0.0094	0.5059	0.673	AT3G16890	pentatricopeptide (PPR) repeat-containing protein
257929_at	0.0955	0.7151	0.2559	0.1552	0.8184	0.1397	0.0516	0.7012	0.4489	0.3264	0.9903	0.029	AT3G16980	DNA-directed RNA polymerase II, putative
257930_at	0.14	0.8531	0.2214	0.1275	0.8748	0.2303	0.315	0.9877	0.0355	0.9484	0.9999	0.0001	AT3G17010	transcriptional factor B3 family protein
257931_at	0.1035	0.8246	0.3382	0.1305	0.8963	0.2167	0.087	0.7982	0.361	-0.0098	0.4624	0.6347	AT3G17030	similar to unnamed protein product [Vitis vinifera] (GB:CAO44908.1); contains InterPro domain Nucleic acid-binding, OB-fold-like (InterPro:IPR016027)
257932_at	0.1109	0.8015	0.315	-0.0158	0.5661	0.6151	-0.1994	0.0941	0.9525	-0.0014	0.5253	0.6427	AT3G17040	HCF107 (HIGH CHLOROPHYLL FLUORESCENT 107); binding
257933_at	-0.042	0.4088	0.7172	-0.1458	0.205	0.8883	-0.0284	0.4913	0.7123	-0.0663	0.3098	0.7766	AT3G25585	AAPT2 (AMINOALCOHOLPHOSPHOTRANSFERASE); phosphatidyltransferase
257934_at	0.0321	0.4968	0.3239	-0.1319	0.1905	0.7391	0.3634	0.9877	0.0208	0.1545	0.8412	0.1896	AT3G25420	SCPL21 (serine carboxypeptidase-like 21); serine carboxypeptidase
257935_at	0.7096	0.9998	0.001	0.3662	0.9714	0.0153	0.1903	0.7512	0.1036	0.6647	0.9995	0.001	AT3G25440	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G28480.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46979.1); contains InterPro domain CRS1/YhbY (InterPro:IPR001890)
257936_at	-0.0784	0.319	0.8011	-0.0609	0.3877	0.6462	-0.2173	0.0771	0.9634	-0.1295	0.1844	0.9139	AT3G25450	transposable element gene
257937_at	-0.1471	0.1513	0.819	0.2125	0.8818	0.1109	-0.1128	0.2142	0.8137	-0.1709	0.12	0.9496	AT3G19810	similar to unnamed protein product [Vitis vinifera] (GB:CAO64796.1); contains InterPro domain Protein of unknown function DUF177 (InterPro:IPR003772)
257938_at	-0.0403	0.4578	0.7146	-0.0255	0.5014	0.5903	-0.1138	0.2108	0.8258	-0.1065	0.2299	0.8677	AT3G19820	DWF1 (DIMINUTO 1); catalytic
257939_at	-0.1679	0.1276	0.8961	-0.0493	0.3659	0.6304	0.0123	0.5204	0.4875	-0.1731	0.1028	0.7454	AT3G19930	STP4 (SUGAR TRANSPORTER 4); carbohydrate transmembrane transporter/ sugar:hydrogen ion symporter
257940_at	-0.0146	0.4009	0.5922	-0.1244	0.2002	0.7528	-0.1619	0.1412	0.9163	0.0467	0.5081	0.3572	AT3G21790	UDP-glucoronosyl/UDP-glucosyl transferase family protein
257941_at	0.0326	0.6675	0.5318	-0.2439	0.0668	0.9582	0.0664	0.6987	0.4052	0.2701	0.9562	0.058	AT3G21800	UDP-glucoronosyl/UDP-glucosyl transferase family protein
257942_at	-0.133	0.2029	0.8871	-0.0155	0.5536	0.5831	0.198	0.9242	0.1365	-0.1565	0.1327	0.9147	AT3G21830	ASK8 (ARABIDOPSIS SKP1-LIKE 8); ubiquitin-protein ligase
257943_at	0.0835	0.7347	0.3269	-0.1688	0.1592	0.9164	-0.0597	0.3898	0.7842	-0.0284	0.3338	0.5927	AT3G21840	ASK7 (ARABIDOPSIS SKP1-LIKE 7); ubiquitin-protein ligase
257944_at	-0.1058	0.2853	0.8599	0.1705	0.9312	0.1425	-0.034	0.4359	0.695	-0.1485	0.1365	0.8897	AT3G21850	ASK9 (ARABIDOPSIS SKP1-LIKE 9); ubiquitin-protein ligase
257945_at	0.2154	0.9056	0.096	0.1559	0.8472	0.1778	0.0779	0.6785	0.3531	-0.0357	0.3845	0.6813	AT3G21860	ASK10 (ARABIDOPSIS SKP1-LIKE 10); ubiquitin-protein ligase
257946_at	-0.3565	0.0154	0.9839	-0.0412	0.3178	0.5397	0.1158	0.8127	0.2787	-0.1267	0.1747	0.8866	AT3G21710	unknown protein
257947_at	0.1208	0.843	0.271	0.1732	0.8692	0.1086	0.475	0.9966	0.0056	0.2671	0.8977	0.0589	AT3G21720	isocitrate lyase, putative
257948_at	0.0181	0.5986	0.5233	-0.1466	0.1896	0.8527	0.0722	0.6821	0.3451	-0.0228	0.477	0.726	AT3G21740	APO4 (ACCUMULATION OF PHOTOSYSTEM ONE 4)
257949_at	0.0095	0.4949	0.5451	0.0082	0.6205	0.4958	-0.0343	0.4505	0.7048	-0.0099	0.4609	0.6002	AT3G21750	UDP-glucoronosyl/UDP-glucosyl transferase family protein
257950_at	0.1063	0.818	0.3323	0.085	0.8271	0.3343	0.1227	0.8612	0.2697	0.0292	0.6007	0.531	AT3G21780	UGT71B6 (UDP-GLUCOSYL TRANSFERASE 71B6); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ transferase, transferring glycosyl groups
257951_at	0.0241	0.327	0.2642	0.007	0.6	0.5019	-0.2241	0.0636	0.9476	-0.2069	0.0799	0.8751	AT3G21700	GTP binding
257952_at	0.5236	0.9987	0.0048	-0.1004	0.2935	0.7558	0.0314	0.5559	0.4391	-0.009	0.4369	0.5532	AT3G21770	peroxidase 30 (PER30) (P30) (PRXR9)
257953_at	0.1187	0.846	0.307	-0.0755	0.3948	0.7863	0.0061	0.5732	0.5909	0.108	0.826	0.3101	AT3G21865	PEX22 (PEROXIN 22); protein binding
257954_at	-0.3845	0.0116	0.9632	0.2128	0.9488	0.1036	0.3444	0.9903	0.0259	0.0768	0.7655	0.4072	AT3G21760	UDP-glucoronosyl/UDP-glucosyl transferase family protein
257955_at	-0.0092	0.4208	0.5723	0.0647	0.7138	0.3082	-0.0308	0.4531	0.6665	0.0111	0.4483	0.4985	AT3G21810	zinc finger (CCCH-type) family protein
257956_at	0.2835	0.9396	0.052	-0.0812	0.3368	0.7362	0.0524	0.7032	0.4474	0.1983	0.9185	0.1205	AT3G25400	similar to unnamed protein product [Vitis vinifera] (GB:CAO45250.1); contains InterPro domain NTP pyrophosphohydrolase MazG, putative catalytic core (InterPro:IPR004518); contains InterPro domain NTP Pyrophosphohydrolase MazG-related, RS21-C6 (InterPro:IPR011394); contains InterPro domain EAR (InterPro:IPR009039)
257957_at	0.0254	0.5986	0.5533	-0.0424	0.4637	0.6921	0.0859	0.7472	0.3491	-0.0217	0.451	0.6965	AT3G25490	wall-associated kinase, putative
257958_at	-0.2235	0.0848	0.9668	-0.0939	0.3076	0.7919	-0.1037	0.2685	0.8526	0.0714	0.6579	0.361	AT3G25510	disease resistance protein (TIR-NBS-LRR class), putative
257959_at	0.3504	0.9251	0.045	-0.2003	0.1153	0.9511	-0.1181	0.2348	0.8787	-0.1375	0.1665	0.9159	AT3G25560	NIK2 (NSP-INTERACTING KINASE 2); protein kinase
257960_at	0.0734	0.6814	0.3538	-0.0146	0.5349	0.564	0.0848	0.7717	0.3484	-0.2253	0.0682	0.9255	AT3G25570;AT3G25572	[AT3G25570, adenosylmethionine decarboxylase family protein];[AT3G25572, CPuORF11 (Conserved peptide upstream open reading frame 11)]
257961_at	0.017	0.611	0.5904	-0.1319	0.2257	0.8508	-0.0824	0.3184	0.8217	-0.0729	0.3179	0.8255	AT3G19780	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G33780.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15395.1); contains InterPro domain Protein of unknown function DUF179 (InterPro:IPR003774); contains InterPro domain Thioredoxin-like fold (InterPro:IPR012336); contains InterPro domain Thioredoxin fold (InterPro:IPR012335)
257962_at	0.0301	0.6476	0.5092	-0.0154	0.5661	0.6055	-0.1037	0.2693	0.8624	0.127	0.856	0.2639	AT3G19790	unknown protein
257963_at	-0.0482	0.4076	0.7418	-0.1095	0.2869	0.8242	-0.1466	0.1678	0.8954	0.04	0.6206	0.4977	AT3G19840	FF domain-containing protein / WW domain-containing protein
257964_at	0.2574	0.9661	0.0719	0.401	0.995	0.014	-0.0162	0.5245	0.6684	0.3209	0.9774	0.0335	AT3G19850	phototropic-responsive NPH3 family protein
257965_at	0.0223	0.4988	0.5099	-0.0782	0.3617	0.7775	-0.4056	0.0074	0.9977	-0.036	0.4286	0.7532	AT3G19900	similar to unknown [Picea sitchensis] (GB:ABK25235.1)
257966_at	-0.0121	0.3646	0.5324	0.2258	0.9037	0.1001	-0.2234	0.07	0.9683	0.0142	0.5635	0.584	AT3G19800	similar to unnamed protein product [Vitis vinifera] (GB:CAO15360.1)
257967_at	-0.0428	0.4398	0.7278	-0.1095	0.2939	0.8285	-0.1934	0.1016	0.9536	-0.1611	0.1296	0.9318	AT3G19910	zinc finger (C3HC4-type RING finger) family protein
257968_at	0.0818	0.5988	0.341	0.0324	0.698	0.4387	-0.023	0.4707	0.6532	0.1294	0.8332	0.241	AT3G27550	group II intron splicing factor CRS1-related
257969_at	-0.0948	0.3127	0.8451	0.0117	0.6518	0.5378	-0.0254	0.4789	0.6666	-0.0093	0.513	0.68	AT3G27520	similar to unnamed protein product [Vitis vinifera] (GB:CAO14682.1)
257970_at	-0.036	0.3945	0.6859	0.0035	0.6394	0.5687	-0.2733	0.0403	0.9495	-0.1367	0.1705	0.9223	AT3G27570	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G40510.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14698.1); contains InterPro domain Thioredoxin-like fold (InterPro:IPR012336); contains InterPro domain Thioredoxin fold (InterPro:IPR012335); contains InterPro domain Sucraseferredoxin-like (InterPro:IPR009737)
257971_at	0.476	0.9948	0.0098	0.1958	0.9539	0.1117	0.1845	0.9294	0.1545	0.2771	0.9417	0.0537	AT3G27530	GC6 (GOLGIN CANDIDATE 6); binding / protein transporter
257972_at	-0.0899	0.2902	0.7932	-0.0742	0.3927	0.7551	0.0835	0.691	0.3002	0.1665	0.8868	0.1695	AT3G27560	ATN1; kinase/ protein serine/threonine/tyrosine kinase
257973_at	0.0638	0.5935	0.4038	-0.1128	0.2699	0.8395	-0.0789	0.3279	0.808	0.0957	0.7591	0.3265	AT3G20720	similar to hypothetical protein OsI_016901 [Oryza sativa (indica cultivar-group)] (GB:EAY95668.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ56411.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39040.1); contains domain SUBFAMILY NOT NAMED (PTHR22774:SF4); contains domain UNCHARACTERIZED (PTHR22774)
257974_at	-0.0332	0.4821	0.7195	-0.1227	0.2482	0.839	0.0388	0.6785	0.5068	0.0479	0.6736	0.4859	AT3G20820	leucine-rich repeat family protein
257975_at	-0.3672	0.014	0.9956	-0.0807	0.1439	0.3654	-0.2013	0.0878	0.927	-0.3793	0.0115	0.9947	AT3G20830	protein kinase family protein
257976_at	0.2065	0.9391	0.1223	0.2324	0.9635	0.0684	0.3713	0.9921	0.0183	0.072	0.641	0.3442	AT3G20840	PLT1 (PLETHORA 1); transcription factor
257977_at	-0.0933	0.2925	0.7653	-0.3497	0.0187	0.989	0.0885	0.7949	0.3639	0.0521	0.5436	0.372	AT3G20850	proline-rich family protein
257978_at	-0.0542	0.4215	0.7528	-0.1804	0.1379	0.9117	0.0265	0.6099	0.5176	0.0773	0.3153	0.1742	AT3G20860	ATNEK5; kinase
257979_at	-0.265	0.0504	0.9805	-0.1384	0.1932	0.8352	0.1169	0.7534	0.2634	-0.1836	0.1063	0.9178	AT3G20730	pentatricopeptide (PPR) repeat-containing protein
257980_at	-0.1536	0.1696	0.8746	-0.149	0.1658	0.8345	-0.0525	0.4139	0.764	-0.2191	0.0618	0.9544	AT3G20760	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G51130.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23385.1); contains InterPro domain Nse4 (InterPro:IPR014854)
257981_at	0.0911	0.7538	0.3675	-0.074	0.3699	0.7193	-0.1974	0.0988	0.9588	-0.0997	0.2269	0.8279	AT3G20770	EIN3 (ETHYLENE-INSENSITIVE3); transcription factor
257982_at	0.1627	0.7034	0.1849	0.0973	0.8263	0.2719	-0.0191	0.5111	0.664	0.038	0.5921	0.4822	AT3G20780	ATTOP6B (BRASSINOSTEROID INSENSITIVE 3, ROOT HAIRLESS 3)
257983_at	-0.0096	0.5502	0.6547	-0.0746	0.3691	0.7217	-0.1022	0.2496	0.8177	0.0612	0.7078	0.4363	AT3G20790	oxidoreductase family protein
257984_at	0.0326	0.5777	0.5071	-0.0642	0.43	0.764	0.0094	0.5389	0.5379	-0.0087	0.5027	0.6541	AT3G20800	rcd1-like cell differentiation protein, putative
